case_group,video_id,dataset,gt_label,predicted_label,binary_status,anomaly_score,binary_confidence,class_confidence,taxonomy_label,explanation
failure,qaAclucigpY_3_cbd49589b9,rwf_2000,fighting,normal,FN,1.0878608014408542e-09,0.9999999989121392,0.9999999989121392,similar normal motion,"Prediction is incorrect (FN); gt=fighting but pred=normal at anomaly score 0.0000. Heuristic failure type is 'similar normal motion', indicating likely domain/visual mismatch."
failure,04_0011,shanghaitech,anomaly,normal,FN,2.2761825757555698e-10,0.9999999997723817,0.9999999997723817,crowd density,"Prediction is incorrect (FN); gt=anomaly but pred=normal at anomaly score 0.0000. Heuristic failure type is 'crowd density', indicating likely domain/visual mismatch."
failure,08_0080,shanghaitech,anomaly,normal,FN,5.883629000669188e-11,0.9999999999411637,0.9999999999411637,crowd density,"Prediction is incorrect (FN); gt=anomaly but pred=normal at anomaly score 0.0000. Heuristic failure type is 'crowd density', indicating likely domain/visual mismatch."
failure,Explosion016_x264,ucf_crime,explosion,normal,FN,3.1657547694408095e-09,0.9999999968342452,0.9999999968342452,low light,"Prediction is incorrect (FN); gt=explosion but pred=normal at anomaly score 0.0000. Heuristic failure type is 'low light', indicating likely domain/visual mismatch."
failure,Taken.3.2014__#00-03-58_00-04-16_label_B2-0-0,xd_violence,shooting,normal,FN,9.22914578094236e-10,0.9999999990770854,0.9999999990770854,low light,"Prediction is incorrect (FN); gt=shooting but pred=normal at anomaly score 0.0000. Heuristic failure type is 'low light', indicating likely domain/visual mismatch."
success,qyRJeYN5_0_5b303d3a52,rwf_2000,normal,normal,TN,7.39023165580166e-12,0.9999999999926098,0.9999999999926098,other,Prediction is correct (TN) with anomaly score 0.0000. This suggests stable transfer behavior for this sample on rwf_2000.
success,09_003,shanghaitech,normal,normal,TN,7.084664799261731e-11,0.9999999999291533,0.9999999999291533,other,Prediction is correct (TN) with anomaly score 0.0000. This suggests stable transfer behavior for this sample on shanghaitech.
success,Normal_Videos_025_x264,ucf_crime,normal,normal,TN,4.175637960401879e-11,0.9999999999582436,0.9999999999582436,other,Prediction is correct (TN) with anomaly score 0.0000. This suggests stable transfer behavior for this sample on ucf_crime.
success,New.Kids.Turbo.2010__#00-41-30_00-42-05_label_A,xd_violence,normal,normal,TN,1.253835750503196e-11,0.9999999999874617,0.9999999999874617,other,Prediction is correct (TN) with anomaly score 0.0000. This suggests stable transfer behavior for this sample on xd_violence.
success,v=AqFWYZsOgWY__#00-21-00_00-24-00_label_A,xd_violence,normal,normal,TN,2.3963281359229427e-10,0.9999999997603672,0.9999999997603672,other,Prediction is correct (TN) with anomaly score 0.0000. This suggests stable transfer behavior for this sample on xd_violence.
