dataset,video_id,annotation_path,num_segments,gt_events,pred_events_before,pred_events_after,matched_before,matched_after,unmatched_gt_before,unmatched_pred_before,unmatched_gt_after,unmatched_pred_after,best_iou_before,best_iou_after,video_anomaly_score
ucf_crime,Fighting003_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Fighting003_x264.json,193,1,5,3,1,1,0,4,0,2,0.345679012345679,0.3125,0.9984866380691528
ucf_crime,Fighting018_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Fighting018_x264.json,86,1,0,0,0,0,1,0,1,0,0.0,0.0,0.9600276947021484
ucf_crime,Fighting033_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Fighting033_x264.json,69,1,2,2,1,1,0,1,0,1,0.9,0.8421052631578947,0.999424934387207
ucf_crime,Fighting042_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Fighting042_x264.json,139,1,3,2,1,1,0,2,0,1,0.13114754098360656,0.1206896551724138,0.9952613115310669
ucf_crime,Fighting047_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Fighting047_x264.json,278,1,2,2,1,1,0,1,0,1,0.08737864077669903,0.08737864077669903,0.9654824137687683
ucf_crime,Shooting002_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting002_x264.json,75,1,3,1,1,0,0,2,1,1,0.7142857142857143,0.0,0.9979629516601562
ucf_crime,Shooting004_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting004_x264.json,112,1,4,3,1,1,0,3,0,2,0.36666666666666664,0.3448275862068966,0.9935304522514343
ucf_crime,Shooting007_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting007_x264.json,89,1,2,1,0,0,1,2,1,1,0.0,0.0,0.9693395495414734
ucf_crime,Shooting008_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting008_x264.json,101,1,0,0,0,0,1,0,1,0,0.0,0.0,0.34960636496543884
ucf_crime,Shooting010_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting010_x264.json,165,1,0,0,0,0,1,0,1,0,0.0,0.0,0.095279261469841
ucf_crime,Shooting011_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting011_x264.json,250,1,5,2,1,1,0,4,0,1,0.3888888888888889,0.2777777777777778,0.9719379544258118
ucf_crime,Shooting013_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting013_x264.json,67,1,2,1,1,1,0,1,0,0,0.14,0.125,0.9998956322669983
ucf_crime,Shooting015_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting015_x264.json,107,1,0,0,0,0,1,0,1,0,0.0,0.0,0.7578821778297424
ucf_crime,Shooting018_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting018_x264.json,112,1,0,0,0,0,1,0,1,0,0.0,0.0,0.8194986581802368
ucf_crime,Shooting019_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting019_x264.json,172,1,7,5,1,1,0,6,0,4,0.39436619718309857,0.3561643835616438,0.9996746182441711
ucf_crime,Shooting021_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting021_x264.json,79,1,2,1,1,1,0,1,0,0,0.6666666666666666,0.8333333333333334,0.9981077909469604
ucf_crime,Shooting022_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting022_x264.json,284,1,0,0,0,0,1,0,1,0,0.0,0.0,0.09385499358177185
ucf_crime,Shooting024_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting024_x264.json,125,1,0,0,0,0,1,0,1,0,0.0,0.0,0.25312694907188416
ucf_crime,Shooting026_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting026_x264.json,87,1,2,2,1,1,0,1,0,1,0.8461538461538461,0.7777777777777778,0.9999895095825195
ucf_crime,Shooting028_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting028_x264.json,118,1,2,2,1,0,0,1,1,2,0.05128205128205128,0.0,0.9999953508377075
ucf_crime,Shooting032_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting032_x264.json,1355,1,3,1,0,0,1,3,1,1,0.0,0.0,0.6922457218170166
ucf_crime,Shooting033_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting033_x264.json,226,1,2,1,1,1,0,1,0,0,0.42857142857142855,0.47619047619047616,0.82080078125
ucf_crime,Shooting034_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting034_x264.json,88,1,0,0,0,0,1,0,1,0,0.0,0.0,0.2585891783237457
ucf_crime,Shooting037_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting037_x264.json,19,1,1,1,1,1,0,0,0,0,0.5833333333333334,0.6,0.9957470893859863
ucf_crime,Shooting043_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting043_x264.json,117,1,7,4,1,1,0,6,0,3,0.5,0.2777777777777778,0.9931907057762146
ucf_crime,Shooting046_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting046_x264.json,318,2,4,2,1,1,1,3,1,1,0.47619047619047616,0.42857142857142855,0.9874563217163086
ucf_crime,Shooting047_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting047_x264.json,517,2,0,0,0,0,2,0,2,0,0.0,0.0,0.07345981150865555
ucf_crime,Shooting048_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Shooting048_x264.json,171,1,0,0,0,0,1,0,1,0,0.0,0.0,0.10110539942979813
ucf_crime,Explosion002_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion002_x264.json,250,1,1,1,1,1,0,0,0,0,0.4358974358974359,0.358974358974359,0.9060947895050049
ucf_crime,Explosion004_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion004_x264.json,118,1,5,4,1,1,0,4,0,3,0.7333333333333333,0.6923076923076923,0.9999777674674988
ucf_crime,Explosion007_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion007_x264.json,1018,1,29,22,1,1,0,28,0,21,0.36666666666666664,0.36363636363636365,0.9992097020149231
ucf_crime,Explosion008_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion008_x264.json,109,1,3,3,1,1,0,2,0,2,0.32142857142857145,0.4230769230769231,0.999303936958313
ucf_crime,Explosion010_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion010_x264.json,156,1,0,0,0,0,1,0,1,0,0.0,0.0,0.4890771806240082
ucf_crime,Explosion011_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion011_x264.json,98,1,0,0,0,0,1,0,1,0,0.0,0.0,0.017379794269800186
ucf_crime,Explosion013_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion013_x264.json,207,1,1,0,0,0,1,1,1,0,0.0,0.0,0.9124243259429932
ucf_crime,Explosion016_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion016_x264.json,60,1,0,0,0,0,1,0,1,0,0.0,0.0,3.1657547694408095e-09
ucf_crime,Explosion017_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion017_x264.json,102,1,3,2,1,1,0,2,0,1,0.6,0.4666666666666667,0.9961203932762146
ucf_crime,Explosion020_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion020_x264.json,80,1,5,4,1,1,0,4,0,3,0.8235294117647058,0.631578947368421,0.9998105764389038
ucf_crime,Explosion021_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion021_x264.json,48,1,2,2,1,1,0,1,0,1,0.6923076923076923,0.6363636363636364,0.9999770522117615
ucf_crime,Explosion022_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion022_x264.json,224,1,1,1,1,1,0,0,0,0,0.6923076923076923,0.46153846153846156,0.9541544914245605
ucf_crime,Explosion025_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion025_x264.json,31,1,0,0,0,0,1,0,1,0,0.0,0.0,0.23120731115341187
ucf_crime,Explosion027_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion027_x264.json,48,1,1,0,0,0,1,1,1,0,0.0,0.0,0.9998712539672852
ucf_crime,Explosion028_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion028_x264.json,106,1,1,0,0,0,1,1,1,0,0.0,0.0,0.5534952878952026
ucf_crime,Explosion029_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion029_x264.json,150,1,1,0,0,0,1,1,1,0,0.0,0.0,0.8773012757301331
ucf_crime,Explosion033_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion033_x264.json,197,2,2,1,1,1,1,1,1,0,0.4,0.44,0.7939271330833435
ucf_crime,Explosion035_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion035_x264.json,179,1,7,6,1,1,0,6,0,5,0.0945945945945946,0.0945945945945946,0.9998300075531006
ucf_crime,Explosion036_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion036_x264.json,332,1,12,7,1,1,0,11,0,6,0.3333333333333333,0.21428571428571427,0.9999566674232483
ucf_crime,Explosion039_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion039_x264.json,62,1,2,2,1,1,0,1,0,1,0.3333333333333333,0.21428571428571427,0.9999241828918457
ucf_crime,Explosion043_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Explosion043_x264.json,477,1,0,0,0,0,1,0,1,0,0.0,0.0,0.622380793094635
ucf_crime,Robbery048_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Robbery048_x264.json,88,1,1,0,1,0,0,0,1,0,0.1935483870967742,0.0,0.7930243015289307
ucf_crime,Robbery050_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Robbery050_x264.json,106,1,0,0,0,0,1,0,1,0,0.0,0.0,0.08608945459127426
ucf_crime,Robbery102_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Robbery102_x264.json,114,1,0,0,0,0,1,0,1,0,0.0,0.0,0.6746054887771606
ucf_crime,Robbery106_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Robbery106_x264.json,74,1,0,0,0,0,1,0,1,0,0.0,0.0,0.5461422801017761
ucf_crime,Robbery137_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Robbery137_x264.json,137,1,0,0,0,0,1,0,1,0,0.0,0.0,0.9144994020462036
ucf_crime,Abuse028_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Abuse028_x264.json,88,1,0,0,0,0,1,0,1,0,0.0,0.0,1.1185552040160474e-07
ucf_crime,Abuse030_x264,/projectnb/cs585/students/saichava/IVC_Project/data/ucf_crime/annotations/temporal_segments/Abuse030_x264.json,96,1,0,0,0,0,1,0,1,0,0.0,0.0,0.15821613371372223
